timestamp,timestamp_local,sn,sample_rh,sample_temp,sample_pres,lat,lon,device_state,pm1,pm25,pm10
2023-04-30T23:59:03Z,2023-04-30T19:59:03Z,MOD-PM-00955,41.05,25.48,0.0,39.956,-75.186,ACTIVE,0.946,1.092,1.164
2023-04-30T23:58:03Z,2023-04-30T19:58:03Z,MOD-PM-00955,41.08,25.48,0.0,39.956,-75.186,ACTIVE,0.909,0.959,0.959
2023-04-30T23:57:03Z,2023-04-30T19:57:03Z,MOD-PM-00955,41.1,25.47,0.0,39.956,-75.186,ACTIVE,1.052,1.156,1.224
2023-04-30T23:56:03Z,2023-04-30T19:56:03Z,MOD-PM-00955,41.07,25.47,0.0,39.956,-75.186,ACTIVE,0.831,0.896,0.896
2023-04-30T23:55:03Z,2023-04-30T19:55:03Z,MOD-PM-00955,40.97,25.47,0.0,39.956,-75.186,ACTIVE,0.757,0.785,0.785
2023-04-30T23:54:03Z,2023-04-30T19:54:03Z,MOD-PM-00955,41.06,25.48,0.0,39.956,-75.186,ACTIVE,1.347,1.384,1.384
2023-04-30T23:53:03Z,2023-04-30T19:53:03Z,MOD-PM-00955,41.04,25.47,0.0,39.956,-75.186,ACTIVE,1.049,1.151,2.02
2023-04-30T23:52:03Z,2023-04-30T19:52:03Z,MOD-PM-00955,41.1,25.47,0.0,39.956,-75.186,ACTIVE,0.77,0.891,0.891
2023-04-30T23:51:03Z,2023-04-30T19:51:03Z,MOD-PM-00955,41.12,25.48,0.0,39.956,-75.186,ACTIVE,0.986,1.17,1.235
2023-04-30T23:50:03Z,2023-04-30T19:50:03Z,MOD-PM-00955,41.08,25.47,0.0,39.956,-75.186,ACTIVE,0.843,1.01,1.081
2023-04-30T23:49:03Z,2023-04-30T19:49:03Z,MOD-PM-00955,41.05,25.47,0.0,39.956,-75.186,ACTIVE,0.87,0.964,0.964
2023-04-30T23:48:03Z,2023-04-30T19:48:03Z,MOD-PM-00955,41.03,25.47,0.0,39.956,-75.186,ACTIVE,1.007,1.046,1.046
2023-04-30T23:47:03Z,2023-04-30T19:47:03Z,MOD-PM-00955,41.08,25.47,0.0,39.956,-75.186,ACTIVE,1.39,1.486,1.486
2023-04-30T23:46:03Z,2023-04-30T19:46:03Z,MOD-PM-00955,41.09,25.47,0.0,39.956,-75.186,ACTIVE,1.426,1.51,1.51
2023-04-30T23:45:03Z,2023-04-30T19:45:03Z,MOD-PM-00955,41.05,25.47,0.0,39.956,-75.186,ACTIVE,0.839,0.956,0.956
2023-04-30T23:44:03Z,2023-04-30T19:44:03Z,MOD-PM-00955,41.02,25.47,0.0,39.956,-75.186,ACTIVE,1.004,1.065,1.065
2023-04-30T23:43:03Z,2023-04-30T19:43:03Z,MOD-PM-00955,41.04,25.46,0.0,39.956,-75.186,ACTIVE,1.044,1.16,1.16
2023-04-30T23:42:03Z,2023-04-30T19:42:03Z,MOD-PM-00955,41.01,25.46,0.0,39.956,-75.186,ACTIVE,0.83,0.872,0.872
2023-04-30T23:41:03Z,2023-04-30T19:41:03Z,MOD-PM-00955,40.99,25.47,0.0,39.956,-75.186,ACTIVE,0.835,0.916,0.916
2023-04-30T23:40:03Z,2023-04-30T19:40:03Z,MOD-PM-00955,40.91,25.47,0.0,39.956,-75.186,ACTIVE,0.84,0.901,0.967
2023-04-30T23:39:03Z,2023-04-30T19:39:03Z,MOD-PM-00955,40.85,25.47,0.0,39.956,-75.186,ACTIVE,1.0,1.056,1.056
2023-04-30T23:38:03Z,2023-04-30T19:38:03Z,MOD-PM-00955,40.89,25.47,0.0,39.956,-75.186,ACTIVE,1.386,1.449,1.449
2023-04-30T23:37:03Z,2023-04-30T19:37:03Z,MOD-PM-00955,40.91,25.46,0.0,39.956,-75.186,ACTIVE,0.975,1.089,1.089
2023-04-30T23:36:03Z,2023-04-30T19:36:03Z,MOD-PM-00955,40.95,25.47,0.0,39.956,-75.186,ACTIVE,0.785,0.897,0.897
2023-04-30T23:35:03Z,2023-04-30T19:35:03Z,MOD-PM-00955,40.86,25.46,0.0,39.956,-75.186,ACTIVE,1.274,1.382,1.382
2023-04-30T23:34:03Z,2023-04-30T19:34:03Z,MOD-PM-00955,40.9,25.47,0.0,39.956,-75.186,ACTIVE,0.998,1.094,1.094
