timestamp,timestamp_local,sn,rh,temp,lat,lon,device_state,pm1,pm25,pm10,co,no,no2,o3,co2
2023-07-15T22:16:19Z,2023-07-15T18:16:19Z,MOD-00353,59.4,25.2,39.9559,-75.18598,ACTIVE,6.193,6.453,7.689,363.057,1.574,7.039,22.755,
2023-07-15T22:15:19Z,2023-07-15T18:15:19Z,MOD-00353,59.3,25.2,39.9559,-75.18598,ACTIVE,6.801,6.941,8.916,365.591,1.668,6.465,22.474,
2023-07-15T22:14:19Z,2023-07-15T18:14:19Z,MOD-00353,59.2,25.1,39.9559,-75.18598,ACTIVE,6.001,6.124,6.321,362.68,1.562,9.117,22.503,
2023-07-15T22:13:19Z,2023-07-15T18:13:19Z,MOD-00353,58.9,25.1,39.9559,-75.18598,ACTIVE,5.99,6.115,6.193,357.967,1.564,7.882,22.899,
2023-07-15T22:12:19Z,2023-07-15T18:12:19Z,MOD-00353,58.8,25.1,39.9559,-75.18598,ACTIVE,6.352,6.575,6.891,360.912,1.564,7.76,21.689,
2023-07-15T22:11:19Z,2023-07-15T18:11:19Z,MOD-00353,58.8,25.1,39.9559,-75.18598,ACTIVE,6.524,6.714,7.375,357.217,1.562,7.816,21.379,
2023-07-15T22:10:19Z,2023-07-15T18:10:19Z,MOD-00353,58.6,25.1,39.9559,-75.18598,ACTIVE,6.091,6.161,6.585,355.717,1.563,7.388,21.747,
2023-07-15T22:09:19Z,2023-07-15T18:09:19Z,MOD-00353,58.1,25.1,39.9559,-75.18598,ACTIVE,6.126,6.271,6.271,350.736,2.175,7.413,22.202,
2023-07-15T22:08:19Z,2023-07-15T18:08:19Z,MOD-00353,57.2,25.1,39.9559,-75.18598,ACTIVE,6.164,6.356,6.621,347.68,2.301,20.124,22.77,
2023-07-15T22:07:19Z,2023-07-15T18:07:19Z,MOD-00353,55.2,25.1,39.9559,-75.18598,ACTIVE,6.681,6.776,7.377,353.616,2.36,5.182,26.076,
2023-07-15T21:36:19Z,2023-07-15T17:36:19Z,MOD-00353,53.5,25.2,39.9559,-75.18598,ACTIVE,7.905,8.014,8.014,365.194,2.514,7.886,25.941,
2023-07-15T21:35:19Z,2023-07-15T17:35:19Z,MOD-00353,53.8,25.3,39.9559,-75.18598,ACTIVE,8.289,8.458,9.124,368.783,2.506,9.913,24.958,
2023-07-15T21:34:19Z,2023-07-15T17:34:19Z,MOD-00353,53.9,25.3,39.9559,-75.18598,ACTIVE,8.254,8.381,8.755,363.376,2.508,10.315,26.433,
2023-07-15T21:33:19Z,2023-07-15T17:33:19Z,MOD-00353,54.2,25.3,39.9559,-75.18598,ACTIVE,7.877,8.144,10.997,371.783,2.507,10.501,26.05,
2023-07-15T21:32:19Z,2023-07-15T17:32:19Z,MOD-00353,54.2,25.3,39.9559,-75.18598,ACTIVE,8.124,8.305,8.539,379.583,2.506,7.299,27.254,
2023-07-15T21:31:19Z,2023-07-15T17:31:19Z,MOD-00353,55.9,25.3,39.9559,-75.18598,ACTIVE,8.791,8.95,8.95,380.018,2.36,4.268,19.195,
2023-07-15T21:30:19Z,2023-07-15T17:30:19Z,MOD-00353,61.1,25.3,39.9559,-75.18598,ACTIVE,8.042,8.25,10.948,382.072,1.729,9.938,22.268,
2023-07-15T21:29:18Z,2023-07-15T17:29:18Z,MOD-00353,61.2,25.3,39.9559,-75.18598,ACTIVE,9.124,9.498,9.802,380.359,1.73,11.914,22.866,
2023-07-15T21:28:18Z,2023-07-15T17:28:18Z,MOD-00353,61.4,25.3,39.9559,-75.18598,ACTIVE,9.088,9.37,10.884,380.217,1.731,13.483,21.868,
2023-07-15T21:27:18Z,2023-07-15T17:27:18Z,MOD-00353,61.7,25.3,39.9559,-75.18598,ACTIVE,9.244,9.53,9.867,381.236,1.807,11.161,21.782,
2023-07-15T21:26:18Z,2023-07-15T17:26:18Z,MOD-00353,61.7,25.3,39.9559,-75.18598,ACTIVE,9.243,9.52,9.63,378.773,1.807,10.245,21.467,
2023-07-15T21:25:18Z,2023-07-15T17:25:18Z,MOD-00353,61.8,25.2,39.9559,-75.18598,ACTIVE,9.112,9.586,9.805,380.646,1.808,12.444,22.385,
2023-07-15T21:24:18Z,2023-07-15T17:24:18Z,MOD-00353,61.7,25.2,39.9559,-75.18598,ACTIVE,9.934,10.19,12.878,387.696,1.807,11.171,21.784,
2023-07-15T21:23:18Z,2023-07-15T17:23:18Z,MOD-00353,61.7,25.2,39.9559,-75.18598,ACTIVE,9.785,10.003,10.636,384.412,1.806,13.043,20.841,
2023-07-15T21:22:18Z,2023-07-15T17:22:18Z,MOD-00353,61.9,25.2,39.9559,-75.18598,ACTIVE,9.537,9.787,10.051,379.754,1.809,12.088,20.782,
2023-07-15T21:21:18Z,2023-07-15T17:21:18Z,MOD-00353,61.8,25.2,39.9559,-75.18598,ACTIVE,8.761,9.02,11.183,374.899,1.808,11.704,21.441,
2023-07-15T21:20:18Z,2023-07-15T17:20:18Z,MOD-00353,61.9,25.2,39.9559,-75.18598,ACTIVE,9.909,10.214,12.194,381.396,1.809,11.524,20.467,
2023-07-15T21:19:18Z,2023-07-15T17:19:18Z,MOD-00353,61.8,25.2,39.9559,-75.18598,ACTIVE,9.301,9.642,9.827,371.615,1.808,11.358,20.497,
2023-07-15T21:18:18Z,2023-07-15T17:18:18Z,MOD-00353,61.7,25.1,39.9559,-75.18598,ACTIVE,9.955,10.221,10.406,370.757,1.706,10.725,20.528,
2023-07-15T21:17:18Z,2023-07-15T17:17:18Z,MOD-00353,61.0,25.1,39.9559,-75.18598,ACTIVE,8.855,9.105,10.487,366.328,1.729,14.558,21.047,
2023-07-15T21:11:18Z,2023-07-15T17:11:18Z,MOD-00353,56.3,25.2,39.9559,-75.18598,ACTIVE,10.327,10.528,10.605,367.721,2.304,7.6,23.946,
2023-07-15T21:10:18Z,2023-07-15T17:10:18Z,MOD-00353,56.2,25.3,39.9559,-75.18598,ACTIVE,10.869,11.178,22.05,373.647,2.305,7.366,23.975,
2023-07-15T21:09:18Z,2023-07-15T17:09:18Z,MOD-00353,56.1,25.3,39.9559,-75.18598,ACTIVE,9.854,10.037,11.397,373.308,2.306,7.289,23.699,
2023-07-15T21:08:18Z,2023-07-15T17:08:18Z,MOD-00353,56.4,25.3,39.9559,-75.18598,ACTIVE,11.104,11.349,11.661,375.147,2.312,6.374,24.223,
2023-07-15T21:07:18Z,2023-07-15T17:07:18Z,MOD-00353,56.8,25.3,39.9559,-75.18598,ACTIVE,10.755,10.894,11.086,374.863,2.302,5.489,25.027,
2023-07-15T21:06:18Z,2023-07-15T17:06:18Z,MOD-00353,56.4,25.3,39.9559,-75.18598,ACTIVE,10.135,10.364,10.975,384.589,2.301,6.374,26.053,
2023-07-15T21:05:18Z,2023-07-15T17:05:18Z,MOD-00353,56.5,25.3,39.9559,-75.18598,ACTIVE,10.882,11.085,11.316,389.855,2.294,4.352,19.313,
2023-07-15T21:04:18Z,2023-07-15T17:04:18Z,MOD-00353,62.0,25.3,39.9559,-75.18598,ACTIVE,9.347,9.489,9.722,382.665,1.81,9.984,21.066,
2023-07-15T21:03:18Z,2023-07-15T17:03:18Z,MOD-00353,62.0,25.3,39.9559,-75.18598,ACTIVE,9.293,9.489,9.525,388.001,1.81,10.778,20.751,
2023-07-15T21:02:18Z,2023-07-15T17:02:18Z,MOD-00353,62.2,25.3,39.9559,-75.18598,ACTIVE,10.533,10.701,12.571,383.754,1.811,12.531,21.638,
2023-07-15T20:51:18Z,2023-07-15T16:51:18Z,MOD-00353,60.4,25.1,39.9559,-75.18598,ACTIVE,10.132,10.318,12.305,357.723,1.633,11.928,21.534,
2023-07-15T20:50:18Z,2023-07-15T16:50:18Z,MOD-00353,59.2,25.1,39.9559,-75.18598,ACTIVE,10.392,10.682,11.564,354.47,1.568,12.679,24.986,
2023-07-15T20:49:18Z,2023-07-15T16:49:18Z,MOD-00353,55.9,25.1,39.9559,-75.18598,ACTIVE,10.57,10.599,11.097,363.792,2.317,6.546,25.277,
2023-07-15T20:48:18Z,2023-07-15T16:48:18Z,MOD-00353,55.5,25.2,39.9559,-75.18598,ACTIVE,10.988,11.154,11.192,365.005,2.341,10.94,24.173,
