timestamp,timestamp_local,sn,rh,temp,lat,lon,device_state,pm1,pm25,pm10,co,no,no2,o3,co2
2023-06-30T23:59:51Z,2023-06-30T19:59:51Z,MOD-00353,52.1,24.5,39.9559,-75.18598,ACTIVE,33.812,34.621,34.66,956.154,2.463,9.676,32.894,
2023-06-30T23:48:51Z,2023-06-30T19:48:51Z,MOD-00353,52.2,24.4,39.9559,-75.18598,ACTIVE,34.547,35.2,35.488,961.722,2.468,10.122,32.574,
2023-06-30T23:47:51Z,2023-06-30T19:47:51Z,MOD-00353,52.1,24.4,39.9559,-75.18598,ACTIVE,33.972,34.603,35.04,959.33,2.465,10.888,32.298,
2023-06-30T23:46:51Z,2023-06-30T19:46:51Z,MOD-00353,52.1,24.4,39.9559,-75.18598,ACTIVE,33.85,34.327,36.718,955.636,2.466,9.673,32.597,
2023-06-30T23:45:51Z,2023-06-30T19:45:51Z,MOD-00353,52.0,24.4,39.9559,-75.18598,ACTIVE,35.657,36.173,37.433,953.654,2.465,10.987,32.621,
2023-06-30T23:44:51Z,2023-06-30T19:44:51Z,MOD-00353,51.8,24.4,39.9559,-75.18598,ACTIVE,34.344,34.839,35.021,960.364,2.463,10.182,31.771,
2023-06-30T23:43:51Z,2023-06-30T19:43:51Z,MOD-00353,51.7,24.4,39.9559,-75.18598,ACTIVE,34.078,34.658,34.697,952.636,2.464,10.51,31.795,
2023-06-30T23:42:51Z,2023-06-30T19:42:51Z,MOD-00353,51.5,24.5,39.9559,-75.18598,ACTIVE,33.797,34.281,34.358,950.012,2.462,10.92,31.842,
2023-06-30T23:41:51Z,2023-06-30T19:41:51Z,MOD-00353,51.2,24.5,39.9559,-75.18598,ACTIVE,32.031,32.629,35.954,951.867,2.459,9.833,31.914,
2023-06-30T23:40:51Z,2023-06-30T19:40:51Z,MOD-00353,50.5,24.5,39.9559,-75.18598,ACTIVE,34.795,35.283,35.669,957.29,3.209,6.584,34.751,
2023-06-30T23:39:51Z,2023-06-30T19:39:51Z,MOD-00353,50.0,24.5,39.9559,-75.18598,ACTIVE,34.776,35.446,35.828,954.772,3.214,6.722,34.863,
2023-06-30T23:38:51Z,2023-06-30T19:38:51Z,MOD-00353,50.0,24.5,39.9559,-75.18598,ACTIVE,34.112,34.588,35.313,951.077,3.214,6.722,35.454,
2023-06-30T23:37:51Z,2023-06-30T19:37:51Z,MOD-00353,50.0,24.5,39.9559,-75.18598,ACTIVE,35.542,36.028,36.205,956.003,3.213,7.397,35.75,
2023-06-30T23:36:51Z,2023-06-30T19:36:51Z,MOD-00353,50.0,24.5,39.9559,-75.18598,ACTIVE,34.823,35.463,37.487,956.824,3.214,6.759,35.159,
2023-06-30T23:35:51Z,2023-06-30T19:35:51Z,MOD-00353,50.1,24.6,39.9559,-75.18598,ACTIVE,33.817,34.402,34.661,963.019,3.212,5.938,36.021,
2023-06-30T23:34:51Z,2023-06-30T19:34:51Z,MOD-00353,50.1,24.6,39.9559,-75.18598,ACTIVE,35.676,36.325,40.07,961.787,3.213,7.264,35.429,
2023-06-30T23:33:51Z,2023-06-30T19:33:51Z,MOD-00353,50.2,24.6,39.9559,-75.18598,ACTIVE,33.836,34.373,34.373,962.537,3.211,7.485,34.816,
2023-06-30T23:32:51Z,2023-06-30T19:32:51Z,MOD-00353,50.4,24.6,39.9559,-75.18598,ACTIVE,34.233,34.729,34.906,968.553,3.212,8.29,35.659,
2023-06-30T23:31:51Z,2023-06-30T19:31:51Z,MOD-00353,50.4,24.6,39.9559,-75.18598,ACTIVE,33.476,34.021,35.937,966.501,3.212,9.015,35.363,
2023-06-30T23:30:51Z,2023-06-30T19:30:51Z,MOD-00353,50.6,24.6,39.9559,-75.18598,ACTIVE,34.781,35.221,35.944,972.927,3.158,10.334,33.836,
2023-06-30T23:29:51Z,2023-06-30T19:29:51Z,MOD-00353,52.6,24.6,39.9559,-75.18598,ACTIVE,34.862,35.432,35.728,973.969,2.406,12.113,33.375,
2023-06-30T23:28:51Z,2023-06-30T19:28:51Z,MOD-00353,52.6,24.6,39.9559,-75.18598,ACTIVE,34.07,34.719,34.798,980.538,2.405,12.113,33.375,
2023-06-30T23:27:51Z,2023-06-30T19:27:51Z,MOD-00353,52.7,24.6,39.9559,-75.18598,ACTIVE,35.057,35.86,36.049,976.772,2.406,12.377,33.352,
2023-06-30T23:26:51Z,2023-06-30T19:26:51Z,MOD-00353,52.7,24.6,39.9559,-75.18598,ACTIVE,33.626,34.29,34.519,977.182,2.405,12.496,33.652,
2023-06-30T23:25:51Z,2023-06-30T19:25:51Z,MOD-00353,52.8,24.6,39.9559,-75.18598,ACTIVE,35.253,35.835,36.469,980.395,2.406,13.023,33.328,
2023-06-30T23:24:51Z,2023-06-30T19:24:51Z,MOD-00353,52.8,24.6,39.9559,-75.18598,ACTIVE,34.951,35.615,36.424,980.395,2.406,13.023,33.028,
2023-06-30T23:23:51Z,2023-06-30T19:23:51Z,MOD-00353,52.9,24.6,39.9559,-75.18598,ACTIVE,34.469,35.142,35.736,979.914,2.406,12.954,32.704,
2023-06-30T23:22:51Z,2023-06-30T19:22:51Z,MOD-00353,52.9,24.6,39.9559,-75.18598,ACTIVE,35.144,35.68,35.792,983.609,2.406,13.674,33.305,
2023-06-30T23:21:51Z,2023-06-30T19:21:51Z,MOD-00353,52.9,24.6,39.9559,-75.18598,ACTIVE,35.049,35.698,36.178,982.377,2.404,13.312,33.906,
2023-06-30T23:20:51Z,2023-06-30T19:20:51Z,MOD-00353,52.9,24.6,39.9559,-75.18598,ACTIVE,35.877,36.447,36.8,981.556,2.404,13.674,32.704,
2023-06-30T23:19:51Z,2023-06-30T19:19:51Z,MOD-00353,53.0,24.6,39.9559,-75.18598,ACTIVE,33.812,34.429,35.08,981.895,2.405,12.872,33.282,
2023-06-30T23:18:51Z,2023-06-30T19:18:51Z,MOD-00353,53.0,24.6,39.9559,-75.18598,ACTIVE,35.033,35.609,36.049,981.074,2.404,13.26,32.681,
2023-06-30T23:17:51Z,2023-06-30T19:17:51Z,MOD-00353,53.1,24.6,39.9559,-75.18598,ACTIVE,35.315,35.959,36.073,980.593,2.405,12.919,32.658,
2023-06-30T23:16:51Z,2023-06-30T19:16:51Z,MOD-00353,53.1,24.6,39.9559,-75.18598,ACTIVE,35.447,35.923,46.745,977.309,2.406,12.716,32.658,
2023-06-30T23:15:51Z,2023-06-30T19:15:51Z,MOD-00353,53.1,24.6,39.9559,-75.18598,ACTIVE,35.911,36.551,36.743,981.003,2.405,12.716,33.259,
2023-06-30T23:14:51Z,2023-06-30T19:14:51Z,MOD-00353,53.0,24.6,39.9559,-75.18598,ACTIVE,34.398,34.92,34.958,973.685,2.406,13.26,32.681,
2023-06-30T23:13:51Z,2023-06-30T19:13:51Z,MOD-00353,53.0,24.6,39.9559,-75.18598,ACTIVE,34.425,35.071,35.109,978.201,2.404,12.872,32.681,
2023-06-30T23:12:51Z,2023-06-30T19:12:51Z,MOD-00353,53.0,24.6,39.9559,-75.18598,ACTIVE,35.141,35.667,36.477,978.201,2.404,13.26,33.282,
2023-06-30T23:11:51Z,2023-06-30T19:11:51Z,MOD-00353,52.9,24.6,39.9559,-75.18598,ACTIVE,36.3,36.738,36.854,970.062,2.404,12.383,33.005,
2023-06-30T23:10:51Z,2023-06-30T19:10:51Z,MOD-00353,52.9,24.6,39.9559,-75.18598,ACTIVE,36.008,36.553,37.45,968.83,2.405,12.752,33.005,
2023-06-30T23:09:51Z,2023-06-30T19:09:51Z,MOD-00353,52.9,24.6,39.9559,-75.18598,ACTIVE,36.801,37.362,37.693,967.188,2.405,12.752,33.005,
2023-06-30T23:08:51Z,2023-06-30T19:08:51Z,MOD-00353,52.8,24.5,39.9559,-75.18598,ACTIVE,35.561,36.128,56.408,970.025,2.406,13.073,33.031,
2023-06-30T23:07:51Z,2023-06-30T19:07:51Z,MOD-00353,52.8,24.5,39.9559,-75.18598,ACTIVE,36.68,37.279,37.317,965.92,2.407,12.744,32.43,
